#Sp1	#Sp2	#Cor	#type
ESV_2	ESV_20	0.7344	1
ESV_2	ESV_22	0.5317	1
ESV_2	ESV_24	-0.6609	2
ESV_2	ESV_27	-0.5268	2
ESV_2	ESV_30	0.5609	1
ESV_2	ESV_31	0.7755	1
ESV_2	ESV_32	-0.5326	2
ESV_2	ESV_33	-0.4876	2
ESV_2	ESV_36	0.5488	1
ESV_2	ESV_40	0.7902	1
ESV_2	ESV_42	0.696	1
ESV_2	ESV_43	-0.433	2
ESV_2	ESV_45	0.6741	1
ESV_2	ESV_48	0.7611	1
ESV_2	ESV_50	-0.4956	2
ESV_2	ESV_51	0.7029	1
ESV_2	ESV_61	0.4281	1
ESV_2	ESV_62	0.7302	1
ESV_2	ESV_65	0.6858	1
ESV_2	ESV_66	-0.5706	2
ESV_2	ESV_67	-0.4739	2
ESV_2	ESV_71	0.5591	1
ESV_2	ESV_80	0.7206	1
ESV_2	ESV_84	-0.499	2
ESV_2	ESV_86	0.5385	1
ESV_2	ESV_90	0.467	1
ESV_2	ESV_96	0.6931	1
ESV_2	ESV_100	0.5416	1
ESV_2	ESV_102	-0.4877	2
ESV_2	ESV_104	0.5896	1
ESV_2	ESV_105	-0.4934	2
ESV_2	ESV_106	0.8552	1
ESV_2	ESV_108	0.7065	1
ESV_2	ESV_109	-0.4628	2
ESV_2	ESV_112	0.7029	1
ESV_2	ESV_113	0.5874	1
ESV_2	ESV_118	-0.6074	2
ESV_2	ESV_119	-0.4434	2
ESV_2	ESV_124	0.6354	1
ESV_2	ESV_128	0.4415	1
ESV_2	ESV_134	0.7007	1
ESV_2	ESV_136	0.5064	1
ESV_2	ESV_137	0.7315	1
ESV_2	ESV_141	0.6407	1
ESV_2	ESV_142	0.575	1
ESV_2	ESV_144	-0.5308	2
ESV_2	ESV_150	0.5258	1
ESV_2	ESV_156	-0.4376	2
ESV_2	ESV_157	0.5389	1
ESV_2	ESV_159	0.4416	1
ESV_2	ESV_161	0.6634	1
ESV_2	ESV_169	0.6384	1
ESV_2	ESV_172	0.593	1
ESV_2	ESV_180	-0.4174	2
ESV_2	ESV_181	0.5752	1
ESV_2	ESV_182	0.599	1
ESV_2	ESV_183	0.6158	1
ESV_2	ESV_184	0.7163	1
ESV_2	ESV_188	0.5404	1
ESV_2	ESV_191	-0.5007	2
ESV_2	ESV_192	0.5888	1
ESV_2	ESV_194	0.5231	1
ESV_2	ESV_195	0.7036	1
ESV_2	ESV_200	0.5971	1
ESV_2	ESV_205	0.5534	1
ESV_2	ESV_208	0.693	1
ESV_2	ESV_213	-0.5096	2
ESV_2	ESV_216	0.5373	1
ESV_2	ESV_218	0.6479	1
