#Sp1	#Sp2	#Cor	#type
ESV_3	ESV_455	-0.4911	2
ESV_3	ESV_459	-0.4885	2
ESV_3	ESV_460	-0.5307	2
ESV_3	ESV_492	0.683	1
ESV_3	ESV_498	0.5033	1
ESV_3	ESV_499	-0.5114	2
ESV_3	ESV_543	-0.4703	2
ESV_3	ESV_689	-0.5034	2
ESV_3	ESV_784	0.5117	1
ESV_3	ESV_831	0.4794	1
ESV_3	ESV_946	0.502	1
ESV_3	ESV_1013	0.5289	1
ESV_3	ESV_1170	0.4881	1
ESV_3	ESV_1178	0.5631	1
ESV_3	ESV_1185	0.5532	1
ESV_3	ESV_1273	0.7078	1
ESV_3	ESV_1364	0.4753	1
ESV_3	ESV_1381	0.5074	1
ESV_3	ESV_1422	0.606	1
ESV_3	ESV_1438	0.4774	1
ESV_3	ESV_1511	0.5876	1
ESV_3	ESV_1766	0.6436	1
ESV_3	ESV_1820	0.5588	1
ESV_3	ESV_1831	0.8012	1
ESV_3	ESV_2026	0.4726	1
ESV_3	ESV_2147	0.6555	1
ESV_3	ESV_2275	0.492	1
ESV_3	ESV_2294	0.5858	1
ESV_3	ESV_2412	0.4679	1
ESV_3	ESV_2451	0.5624	1
ESV_3	ESV_2516	0.7147	1
ESV_3	ESV_2570	0.4713	1
ESV_3	ESV_2626	0.8057	1
ESV_3	ESV_2674	0.4278	1
ESV_3	ESV_2759	0.6721	1
ESV_3	ESV_2966	0.4902	1
ESV_3	ESV_3111	0.4434	1
ESV_3	ESV_3133	0.6219	1
ESV_3	ESV_3224	0.4024	1
ESV_3	ESV_3762	0.5591	1
ESV_3	ESV_4138	0.4423	1
ESV_3	ESV_4497	0.7007	1
ESV_3	ESV_4506	0.4234	1
ESV_3	ESV_5094	0.4076	1
ESV_3	ESV_6194	0.5143	1
ESV_3	ESV_7279	0.3588	1
ESV_3	ESV_8850	0.4657	1
ESV_4	ESV_5	0.8198	1
ESV_4	ESV_7	0.5882	1
ESV_4	ESV_8	0.8677	1
ESV_4	ESV_9	0.9005	1
ESV_4	ESV_11	0.6667	1
ESV_4	ESV_13	0.8418	1
ESV_4	ESV_16	0.8734	1
ESV_4	ESV_19	0.6186	1
ESV_4	ESV_20	0.7751	1
ESV_4	ESV_21	0.6847	1
ESV_4	ESV_25	0.5282	1
ESV_4	ESV_31	0.8533	1
ESV_4	ESV_32	0.473	1
ESV_4	ESV_33	0.5255	1
