Sp1	Sp2	Cor	type
ESV_3	ESV_85	-0.575	1
ESV_3	ESV_88	0.5028	0
ESV_3	ESV_95	0.43	0
ESV_3	ESV_96	0.4599	0
ESV_3	ESV_101	-0.5788	1
ESV_3	ESV_103	0.6071	0
ESV_3	ESV_108	-0.5295	1
ESV_3	ESV_113	-0.462	1
ESV_3	ESV_124	-0.4453	1
ESV_3	ESV_125	0.6188	0
ESV_3	ESV_132	-0.4332	1
ESV_3	ESV_134	-0.5018	1
ESV_3	ESV_136	-0.65	1
ESV_3	ESV_141	-0.4477	1
ESV_3	ESV_143	0.5936	0
ESV_3	ESV_145	-0.5272	1
ESV_3	ESV_159	-0.5315	1
ESV_3	ESV_161	-0.506	1
ESV_3	ESV_162	0.5933	0
ESV_3	ESV_164	-0.527	1
ESV_3	ESV_175	-0.461	1
ESV_3	ESV_182	-0.4904	1
ESV_3	ESV_183	-0.4443	1
ESV_3	ESV_185	-0.4132	1
ESV_3	ESV_192	-0.4939	1
ESV_3	ESV_195	-0.567	1
ESV_3	ESV_197	-0.4406	1
ESV_3	ESV_203	-0.4397	1
ESV_3	ESV_205	-0.5613	1
ESV_3	ESV_206	0.5619	0
ESV_3	ESV_208	-0.5386	1
ESV_3	ESV_220	-0.5127	1
ESV_3	ESV_229	-0.5383	1
ESV_3	ESV_230	-0.6169	1
ESV_3	ESV_241	-0.4815	1
ESV_3	ESV_251	-0.4871	1
ESV_3	ESV_258	0.8199	0
ESV_3	ESV_260	-0.4598	1
ESV_3	ESV_263	-0.578	1
ESV_3	ESV_265	0.4464	0
ESV_3	ESV_266	-0.477	1
ESV_3	ESV_269	-0.4745	1
ESV_3	ESV_276	-0.5032	1
ESV_3	ESV_296	-0.4315	1
ESV_3	ESV_299	-0.4991	1
ESV_3	ESV_306	0.4491	0
ESV_3	ESV_311	-0.4642	1
ESV_3	ESV_319	-0.5345	1
ESV_3	ESV_326	0.4221	0
ESV_3	ESV_332	0.431	0
ESV_3	ESV_335	-0.5403	1
ESV_3	ESV_355	-0.4467	1
ESV_3	ESV_359	0.4797	0
ESV_3	ESV_361	-0.5694	1
ESV_3	ESV_363	-0.5274	1
ESV_3	ESV_372	-0.4305	1
ESV_3	ESV_375	0.6204	0
ESV_3	ESV_379	-0.4483	1
ESV_3	ESV_381	-0.5062	1
ESV_3	ESV_388	-0.4143	1
ESV_3	ESV_395	0.6701	0
ESV_3	ESV_404	-0.4557	1
ESV_3	ESV_410	-0.4179	1
ESV_3	ESV_428	-0.5616	1
ESV_3	ESV_447	-0.5026	1
ESV_3	ESV_455	-0.519	1
ESV_3	ESV_459	-0.4592	1
ESV_3	ESV_463	-0.4541	1
ESV_3	ESV_464	-0.4549	1
ESV_3	ESV_468	-0.4981	1
ESV_3	ESV_470	0.4926	0
ESV_3	ESV_478	-0.4427	1
ESV_3	ESV_479	0.5459	0
ESV_3	ESV_481	-0.4409	1
ESV_3	ESV_484	-0.4731	1
ESV_3	ESV_489	-0.4803	1
ESV_3	ESV_490	-0.5306	1
ESV_3	ESV_499	-0.4152	1
ESV_3	ESV_501	-0.4998	1
ESV_3	ESV_505	-0.4695	1
ESV_3	ESV_507	0.6079	0
ESV_3	ESV_520	-0.4217	1
ESV_3	ESV_548	0.4338	0
ESV_3	ESV_552	0.4763	0
ESV_3	ESV_644	-0.5071	1
ESV_3	ESV_648	0.4646	0
ESV_3	ESV_653	-0.5195	1
ESV_3	ESV_727	-0.4475	1
ESV_3	ESV_734	0.4416	0
ESV_3	ESV_750	0.6156	0
ESV_3	ESV_759	-0.4573	1
ESV_3	ESV_763	0.4431	0
ESV_3	ESV_819	-0.4314	1
ESV_3	ESV_844	-0.4243	1
ESV_3	ESV_846	-0.4633	1
ESV_3	ESV_858	0.4807	0
ESV_3	ESV_872	0.5522	0
ESV_3	ESV_873	0.4257	0
ESV_3	ESV_881	-0.4419	1
ESV_3	ESV_893	0.5426	0
ESV_3	ESV_946	0.4215	0
ESV_3	ESV_1041	-0.4848	1
ESV_3	ESV_1049	-0.4921	1
ESV_3	ESV_1134	0.7144	0
ESV_3	ESV_1153	0.4671	0
ESV_3	ESV_1154	0.4483	0
ESV_3	ESV_1170	0.4637	0
ESV_3	ESV_1178	0.5378	0
ESV_3	ESV_1241	0.5057	0
ESV_3	ESV_1261	0.5293	0
ESV_3	ESV_1266	-0.4415	1
ESV_3	ESV_1273	0.6108	0
ESV_3	ESV_1309	0.4615	0
ESV_3	ESV_1362	0.463	0
ESV_3	ESV_1374	0.5292	0
ESV_3	ESV_1378	-0.4261	1
ESV_3	ESV_1418	0.472	0
ESV_3	ESV_1431	0.6544	0
ESV_3	ESV_1450	0.4816	0
ESV_3	ESV_1511	0.4508	0
ESV_3	ESV_1534	-0.459	1
ESV_3	ESV_1537	0.5056	0
ESV_3	ESV_1541	0.4429	0
ESV_3	ESV_1651	0.5046	0
ESV_3	ESV_1678	-0.5356	1
ESV_3	ESV_1719	0.4442	0
ESV_3	ESV_1733	0.5702	0
ESV_3	ESV_1820	0.6272	0
ESV_3	ESV_1894	0.4211	0
ESV_3	ESV_2440	0.5472	0
ESV_3	ESV_2516	0.5657	0
ESV_3	ESV_2567	0.5833	0
ESV_3	ESV_2834	0.6172	0
ESV_3	ESV_2978	0.4892	0
ESV_3	ESV_3031	0.5829	0
ESV_3	ESV_3055	0.4725	0
ESV_3	ESV_3133	0.7096	0
ESV_3	ESV_3187	0.615	0
ESV_3	ESV_3224	0.5255	0
ESV_3	ESV_3425	0.4653	0
ESV_3	ESV_3832	0.5884	0
ESV_3	ESV_4374	0.5505	0
ESV_3	ESV_4506	0.5346	0
ESV_3	ESV_4781	0.4363	0
ESV_3	ESV_4904	0.4143	0
ESV_3	ESV_5383	0.4526	0
ESV_3	ESV_6493	0.4407	0
ESV_3	ESV_6637	0.4468	0
ESV_3	ESV_7584	0.554	0
ESV_3	ESV_8355	0.5792	0
ESV_3	ESV_9081	0.5699	0
ESV_3	ESV_9344	0.5561	0
ESV_3	ESV_10231	0.4326	0
ESV_3	ESV_10310	0.43120000000000003	0
ESV_3	ESV_10578	0.4524	0
ESV_3	ESV_14399	0.4821	0
ESV_4	ESV_5	0.9319	0
ESV_4	ESV_7	0.5198	0
ESV_4	ESV_8	0.9413	0
ESV_4	ESV_9	0.56	0
ESV_4	ESV_11	0.6836	0
ESV_4	ESV_13	0.9202	0
ESV_4	ESV_14	0.6219	0
ESV_4	ESV_16	0.8026	0
ESV_4	ESV_18	0.8507	0
ESV_4	ESV_19	0.6237	0
ESV_4	ESV_21	0.918	0
ESV_4	ESV_27	0.6735	0
ESV_4	ESV_31	0.6539	0
ESV_4	ESV_37	0.4633	0
ESV_4	ESV_45	0.6815	0
ESV_4	ESV_48	0.7657	0
ESV_4	ESV_50	0.5121	0
ESV_4	ESV_56	0.5971	0
ESV_4	ESV_57	0.674	0
ESV_4	ESV_60	-0.488	1
ESV_4	ESV_61	0.7734	0
ESV_4	ESV_66	0.5556	0
ESV_4	ESV_72	0.6846	0
ESV_4	ESV_76	0.6043	0
ESV_4	ESV_80	0.6456	0
ESV_4	ESV_102	0.4641	0
ESV_4	ESV_104	0.4539	0
ESV_4	ESV_105	0.4424	0
ESV_4	ESV_112	0.5864	0
ESV_4	ESV_128	0.5541	0
ESV_4	ESV_133	0.666	0
ESV_4	ESV_149	0.6004	0
ESV_4	ESV_153	0.638	0
ESV_4	ESV_156	0.571	0
ESV_4	ESV_167	0.4543	0
ESV_4	ESV_181	0.551	0
ESV_4	ESV_187	0.4951	0
ESV_4	ESV_195	0.4229	0
ESV_4	ESV_197	0.5633	0
ESV_4	ESV_211	0.43	0
ESV_4	ESV_213	0.5021	0
ESV_4	ESV_215	-0.4987	1
ESV_4	ESV_216	0.602	0
ESV_4	ESV_275	-0.4491	1
